Step,Mode,Time,Sx:0.5,Sy:0.5
1,1,1.99,66.19921527,5.924121421
1,1,2,66.32649426,5.855890875
1,1,2.01,66.45377325,5.786680329
1,1,2.02,66.58105223,5.716489784
1,1,2.03,66.70833122,5.645319238
1,1,2.04,66.83561021,5.573168692
1,1,2.05,66.96288919,5.500038147
1,1,2.06,67.09016818,5.425927601
1,1,2.07,67.21744717,5.350837056
1,1,2.08,67.34472615,5.27476651
1,1,2.09,67.47200514,5.197715964
1,1,2.1,67.59928413,5.119685419
1,1,2.11,67.72656311,5.040674873
1,1,2.12,67.8538421,4.960684327
1,1,2.13,67.98112109,4.879713782
1,1,2.14,68.10840008,4.797763236
1,1,2.15,68.23567906,4.714832691
1,1,2.16,68.36295805,4.630922145
1,1,2.17,68.49023704,4.546031599
1,1,2.18,68.61751602,4.460161054
1,1,2.19,68.74479501,4.373310508
1,1,2.2,68.872074,4.285479962
1,1,2.21,68.99935298,4.196669417
1,1,2.22,69.12663197,4.106878871
1,1,2.23,69.25391096,4.016108326
1,1,2.24,69.38118994,3.92435778
1,1,2.25,69.50846893,3.831627234
1,1,2.26,69.63574792,3.737916689
1,1,2.27,69.7630269,3.643226143
1,1,2.28,69.89030589,3.547555597
1,1,2.29,70.01758488,3.450905052
1,1,2.3,70.14486387,3.353274506
1,1,2.31,70.27214285,3.254663961
1,1,2.32,70.39942184,3.155073415
1,1,2.33,70.52670083,3.054502869
1,1,2.34,70.65397981,2.952952324
1,1,2.35,70.7812588,2.850421778
1,1,2.36,70.90853779,2.746911232
1,1,2.37,71.03581677,2.642420687
1,1,2.38,71.16309576,2.536950141
1,1,2.39,71.29037475,2.430499596
1,1,2.4,71.41765373,2.32306905
1,1,2.41,71.54493272,2.214658504
1,1,2.42,71.67221171,2.105267959
1,1,2.43,71.79949069,1.994897413
1,1,2.44,71.92676968,1.883546867
1,1,2.45,72.05404867,1.771216322
1,1,2.46,72.18132765,1.657905776
1,1,2.47,72.30860664,1.543615231
1,1,2.48,72.43588563,1.428344685
1,1,2.49,72.56316462,1.312094139
1,1,2.5,72.6904436,1.194863594
1,1,2.51,72.81772259,1.076653048
1,1,2.52,72.94500158,0.957462502
1,1,2.53,73.07228056,0.837291957
1,1,2.54,73.19955955,0.716141411
1,1,2.55,73.32683854,0.594010866
1,1,2.56,73.45411752,0.47090032
1,1,2.57,73.58139651,0.346809774
1,1,2.58,73.7086755,0.221739229
1,1,2.59,73.83595448,0.095688683
1,1,2.6,73.96323347,-0.031341863
2,1,0,73.96323347,0
2,1,0.01,74.07778456,0.114061509
2,1,0.02,74.19233565,0.227143018
2,1,0.03,74.30688674,0.339244527
2,1,0.04,74.42143782,0.450366036
2,1,0.05,74.53598891,0.560507545
2,1,0.06,74.65054,0.669669054
2,1,0.07,74.76509109,0.777850563
2,1,0.08,74.87964218,0.885052071
2,1,0.09,74.99419326,0.99127358
2,1,0.1,75.10874435,1.096515089
2,1,0.11,75.22329544,1.200776598
2,1,0.12,75.33784653,1.304058107
2,1,0.13,75.45239762,1.406359616
2,1,0.14,75.56694871,1.507681125
2,1,0.15,75.68149979,1.608022634
2,1,0.16,75.79605088,1.707384143
2,1,0.17,75.91060197,1.805765652
2,1,0.18,76.02515306,1.903167161
2,1,0.19,76.13970415,1.99958867
2,1,0.2,76.25425523,2.095030179
2,1,0.21,76.36880632,2.189491688
2,1,0.22,76.48335741,2.282973197
2,1,0.23,76.5979085,2.375474706
2,1,0.24,76.71245959,2.466996214
2,1,0.25,76.82701067,2.557537723
2,1,0.26,76.94156176,2.647099232
2,1,0.27,77.05611285,2.735680741
2,1,0.28,77.17066394,2.82328225
2,1,0.29,77.28521503,2.909903759
2,1,0.3,77.39976612,2.995545268
2,1,0.31,77.5143172,3.080206777
2,1,0.32,77.62886829,3.163888286
2,1,0.33,77.74341938,3.246589795
2,1,0.34,77.85797047,3.328311304
2,1,0.35,77.97252156,3.409052813
2,1,0.36,78.08707264,3.488814322
2,1,0.37,78.20162373,3.567595831
2,1,0.38,78.31617482,3.64539734
2,1,0.39,78.43072591,3.722218849
2,1,0.4,78.545277,3.798060357
2,1,0.41,78.65982809,3.872921866
2,1,0.42,78.77437917,3.946803375
2,1,0.43,78.88893026,4.019704884
2,1,0.44,79.00348135,4.091626393
2,1,0.45,79.11803244,4.162567902
