2018-02-06 00:31:36,338 INFO  [algorithm] Quasi-random sample: Kd:[-0.0458043,-0.0458043]; Ki:[2.61657e-07,2.61657e-07]; Kp:[0.000188211,0.000188211]; 
2018-02-06 00:31:36,338 INFO  [algorithm] The sample is outside the domain
2018-02-06 00:31:36,338 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-06 00:31:36,338 INFO  [algorithm] Quasi-random sample: Kd:[-0.0479856,-0.0479856]; Ki:[-2.35988e-07,-2.35988e-07]; Kp:[-0.00110839,-0.00110839]; 
2018-02-06 00:31:36,338 INFO  [algorithm] The sample is outside the domain
2018-02-06 00:31:36,338 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-06 00:31:36,338 INFO  [algorithm] Quasi-random sample: Kd:[-0.0594579,-0.0594579]; Ki:[2.47099e-07,2.47099e-07]; Kp:[-0.000129825,-0.000129825]; 
2018-02-06 00:31:36,338 INFO  [algorithm] The sample is outside the domain
2018-02-06 00:31:36,338 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-06 00:31:36,338 INFO  [algorithm] Quasi-random sample: Kd:[-0.0748008,-0.0748008]; Ki:[-6.45843e-08,-6.45843e-08]; Kp:[-0.000572979,-0.000572979]; 
2018-02-06 00:31:36,338 INFO  [algorithm] The sample is inside the domain
2018-02-06 00:31:36,338 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-06 00:51:54,475 INFO  [algorithm] Random sample size: 267
2018-02-06 00:51:54,475 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-06 00:51:54,475 INFO  [algorithm] Probability: [0,0.0537175]

2018-02-06 00:51:54,475 INFO  [algorithm] Quasi-random sample: Kd:[-0.0996504,-0.0996504]; Ki:[-6.79545e-07,-6.79545e-07]; Kp:[-0.000820956,-0.000820956]; 
2018-02-06 00:51:54,475 INFO  [algorithm] The sample is inside the domain
2018-02-06 00:51:54,476 INFO  [algorithm] Bayesian estimations algorithm started
